IMF2,RIL1,RIL2,foldid10,yield98,yield99,tiller98,tiller99,grain98,grain99,kgw98,kgw99
F001,R161,R164,9,56.827,38.188,16.912,10.871,118.971,138.34,28.459,25.334
F002,R090,R186,6,41.378,43.951,15.933,14.24,101.327,133.451,25.657,22.432
F003,R051,R228,4,40.415,47.406,14.063,13.227,109.5,139.652,27.046,26.411
F005,R043,R154,9,45.61518293,33.911,17.16396748,11.938,105.4532358,111.709,25.70286179,25.029
F006,R118,R239,1,41.181,33.593,20.357,16.204,78.222,87.872,25.324,23.573
F008,R007,R086,6,49.41,46.184,18.488,14.283,97.494,121.185,27.862,26.463
F009,R182,R213,1,45.173,34.741,17.054,10.857,96.881,128.433,27.687,24.581
F010,R009,R106,8,43.952,37.907,16.8,11.607,97.536,127.972,27.231,26.605
F012,R021,R172,5,49.501,52.659,15.978,13.852,126.498,155.903,24.932,24.437
F014,R012,R191,9,43.713,44.668,17.378,11.952,98.245,149.28,25.504,25.276
F015,R029,R173,9,48.836,47.946,16.695,13.944,107.078,136.311,27.103,25
F017,R128,R185,3,51.564,44.825,16.008,13.969,130.181,132.047,23.464,24.4
F018,R062,R099,8,47.192,25.971,15.292,13.7,121.083,93.818,25.144,22.508
F019,R054,R156,3,47.829,48.691,16.276,15.757,110.112,120.825,26.977,25.691
F020,R093,R116,5,46.738,38.638,19,13.917,101.911,127.488,24.351,22.116
F022,R103,R122,7,51.487,51.248,16.671,14.526,114.301,134.31,26.638,26.171
F025,R084,R181,1,62.123,43.004,23.604,15.465,115.052,122.889,23.267,21.904
F026,R089,R191,10,48.562,42.894,19.621,16.101,112.546,128.869,21.903,20.379
F027,R083,R105,5,45.61518293,44.518,17.16396748,13.958,105.4532358,116.419,25.70286179,27.722
F028,R080,R237,10,45.61518293,38.565,17.16396748,15.227,105.4532358,117.724,25.70286179,21.398
F029,R087,R153,1,57.752,50.051,18.5,16.112,114.082,119.432,27.296,25.341
F030,R022,R111,6,45.61518293,28.796,17.16396748,14.262,105.4532358,91.871,25.70286179,22.382
F031,R027,R092,4,50.52,50.142,13.701,13.05,141.315,157.335,26.154,24.52
F033,R148,R155,10,40.02,41.418,19.232,13.889,83.987,134.178,24.634,22.705
F034,R046,R094,9,46.809,53.399,15.733,14.141,119.161,146.859,25.171,24.503
F035,R016,R225,7,44.424,48.084,17.919,15.188,98.326,128.923,25.747,24.424
F036,R015,R078,6,48.609,43.845,14.35,13.646,131.86,123.954,26.698,26.266
